#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1910.40   -0.111002    0.024306    0.383603    0.022435  99.9900000  99.9900000    0.227052    0.000000    0.018087    0.000000
   1910.45   -0.041819    0.017913    0.411901    0.019908  99.9900000  99.9900000    0.225142    0.000000    0.018525    0.000000
   1910.50    0.080249    0.014925    0.428785    0.018870  99.9900000  99.9900000    0.221918    0.000000    0.019209    0.000000
   1910.55    0.180619    0.015937    0.392735    0.016706  99.9900000  99.9900000    0.218902    0.000000    0.018464    0.000000
   1910.60    0.248586    0.015735    0.340600    0.017808  99.9900000  99.9900000    0.217564    0.000000    0.019081    0.000000
   1910.65    0.297420    0.022547    0.263061    0.020171  99.9900000  99.9900000    0.215739    0.000000    0.018825    0.000000
   1910.70    0.312776    0.016771    0.157870    0.017293  99.9900000  99.9900000    0.215714    0.000000    0.019024    0.000000
   1910.75    0.310434    0.016238    0.055383    0.017012  99.9900000  99.9900000    0.217351    0.000000    0.020029    0.000000
   1910.80    0.286551    0.016683   -0.049479    0.015754  99.9900000  99.9900000    0.218831    0.000000    0.020223    0.000000
   1910.85    0.216543    0.020000   -0.064871    0.020206  99.9900000  99.9900000    0.220923    0.000000    0.020601    0.000000
   1910.90    0.179084    0.022275   -0.136340    0.023697  99.9900000  99.9900000    0.222974    0.000000    0.022294    0.000000
   1910.95    0.072921    0.024667   -0.192534    0.021664  99.9900000  99.9900000    0.223242    0.000000    0.023058    0.000000
   1911.00    0.001861    0.025924   -0.195236    0.027219  99.9900000  99.9900000    0.224304    0.000000    0.022544    0.000000
   1911.05   -0.135584    0.022580   -0.169137    0.026692  99.9900000  99.9900000    0.225198    0.000000    0.023037    0.000000
   1911.10   -0.169891    0.022126   -0.175522    0.019645  99.9900000  99.9900000    0.224218    0.000000    0.022648    0.000000
   1911.15   -0.235056    0.026256   -0.100997    0.022495  99.9900000  99.9900000    0.225526    0.000000    0.020938    0.000000
   1911.20   -0.269011    0.037122   -0.028729    0.032027  99.9900000  99.9900000    0.226539    0.000000    0.020491    0.000000
   1911.25   -0.301619    0.018679    0.043112    0.016950  99.9900000  99.9900000    0.225748    0.000000    0.019470    0.000000
   1911.30   -0.312130    0.020224    0.110236    0.018547  99.9900000  99.9900000    0.227860    0.000000    0.018322    0.000000
   1911.35   -0.292953    0.020113    0.205646    0.017814  99.9900000  99.9900000    0.227958    0.000000    0.018411    0.000000
   1911.40   -0.212885    0.023223    0.261360    0.018057  99.9900000  99.9900000    0.225368    0.000000    0.018754    0.000000
   1911.45   -0.202678    0.019365    0.367085    0.017791  99.9900000  99.9900000    0.224507    0.000000    0.017953    0.000000
