#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1910.65    0.297420    0.022547    0.263061    0.020171  99.9900000  99.9900000   -0.085270    0.000000   -0.021282    0.000000
   1910.70    0.312776    0.016771    0.157870    0.017293  99.9900000  99.9900000   -0.085300    0.000000   -0.021606    0.000000
   1910.75    0.310434    0.016238    0.055383    0.017012  99.9900000  99.9900000   -0.085660    0.000000   -0.021978    0.000000
   1910.80    0.286551    0.016683   -0.049479    0.015754  99.9900000  99.9900000   -0.086390    0.000000   -0.022533    0.000000
   1910.85    0.216543    0.020000   -0.064871    0.020206  99.9900000  99.9900000   -0.087276    0.000000   -0.023279    0.000000
   1910.90    0.179084    0.022275   -0.136340    0.023697  99.9900000  99.9900000   -0.087958    0.000000   -0.024411    0.000000
   1910.95    0.072921    0.024667   -0.192534    0.021664  99.9900000  99.9900000   -0.088321    0.000000   -0.024834    0.000000
   1911.00    0.001861    0.025924   -0.195236    0.027219  99.9900000  99.9900000   -0.088618    0.000000   -0.025228    0.000000
   1911.05   -0.135584    0.022580   -0.169137    0.026692  99.9900000  99.9900000   -0.088587    0.000000   -0.025088    0.000000
   1911.10   -0.169891    0.022126   -0.175522    0.019645  99.9900000  99.9900000   -0.088606    0.000000   -0.024609    0.000000
